Filename	Atlas Name	Publications	Biospecimen	Assay	Level	Organ	Treatment	Diagnosis	Data Access	Synapse Id	Atlasid	File Format	Data File ID	Parent Data File ID	Primary Diagnosis	Sc RN Aseq Workflow Type	Sc RN Aseq Workflow Parameters Description	Workflow Version	Workflow Link	Release Version	Metadata	View
imaging_level_3/TNP-TMA-1-Scene-07_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_7_5	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48193348	HTA14	tiff	HTA14_7_1026	HTA14_7_1012						Release 4.0	Details	
imaging_level_3/TNP-TMA-1-Scene-12_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_12_5	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48193395	HTA14	tiff	HTA14_12_1026	HTA14_12_1012						Release 4.0	Details	
imaging_level_3/TNP-TMA-1-Scene-16_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_16_5	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48193862	HTA14	tiff	HTA14_16_1026	HTA14_16_1012						Release 4.0	Details	
imaging_level_3/TNP-TMA-1-Scene-20_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_12_6	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48195285	HTA14	tiff	HTA14_12_1027	HTA14_12_1013						Release 4.0	Details	
imaging_level_3/TNP-TMA-1-Scene-25_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_24_5	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48195504	HTA14	tiff	HTA14_24_1026	HTA14_24_1012						Release 4.0	Details	
imaging_level_3/TNP-TMA-1-Scene-35_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_30_5	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48197534	HTA14	tiff	HTA14_30_1026	HTA14_30_1012						Release 4.0	Details	
imaging_level_3/TNP-TMA-1-Scene-79_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_49_5	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48206636	HTA14	tiff	HTA14_49_1025	HTA14_49_1012						Release 4.0	Details	
imaging_level_3/TNP-TMA-2-Scene-12_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_12_7	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48211449	HTA14	tiff	HTA14_12_1032	HTA14_12_1014						Release 4.0	Details	
imaging_level_3/TNP-TMA-2-Scene-16_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_16_7	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48212349	HTA14	tiff	HTA14_16_1031	HTA14_16_1014						Release 4.0	Details	
imaging_level_3/TNP-TMA-2-Scene-20_Ecadnuc30matchedcell30-CellSegmentationBasins.tif	HTAN TNP - TMA		HTA14_12_8	CyCIF	Level 3	Breast NOS		Lobular carcinoma NOS	Synapse	syn48213319	HTA14	tiff	HTA14_12_1033	HTA14_12_1015						Release 4.0	Details	
