Filename	Atlas Name	Publications	Biospecimen	Assay	Level	Organ	Treatment	Diagnosis	Data Access	Synapse Id	Atlasid	File Format	Data File ID	Parent Data File ID	Primary Diagnosis	Sc RN Aseq Workflow Type	Sc RN Aseq Workflow Parameters Description	Workflow Version	Workflow Link	Release Version	Metadata	View
imaging_level_2/OHSU_TMA1_004-A7.ome.tif	HTAN TNP - TMA		HTA14_7_11	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341509	HTA14	OME-TIFF	HTA14_7_1000							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-B1.ome.tif	HTAN TNP - TMA		HTA14_12_11	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341511	HTA14	OME-TIFF	HTA14_12_1000							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-B5.ome.tif	HTAN TNP - TMA		HTA14_16_11	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341518	HTA14	OME-TIFF	HTA14_16_1000							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-B9.ome.tif	HTAN TNP - TMA		HTA14_12_12	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341522	HTA14	OME-TIFF	HTA14_12_1001							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-C3.ome.tif	HTAN TNP - TMA		HTA14_24_11	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341526	HTA14	OME-TIFF	HTA14_24_1000							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-C8.ome.tif	HTAN TNP - TMA		HTA14_24_12	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341562	HTA14	OME-TIFF	HTA14_24_1001							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-D2.ome.tif	HTAN TNP - TMA		HTA14_30_11	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341593	HTA14	OME-TIFF	HTA14_30_1000							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-F3.ome.tif	HTAN TNP - TMA		HTA14_7_12	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341618	HTA14	OME-TIFF	HTA14_7_1001							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-F7.ome.tif	HTAN TNP - TMA		HTA14_30_12	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341622	HTA14	OME-TIFF	HTA14_30_1001							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-H2.ome.tif	HTAN TNP - TMA		HTA14_49_11	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341640	HTA14	OME-TIFF	HTA14_49_1000							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-H6.ome.tif	HTAN TNP - TMA		HTA14_16_12	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341644	HTA14	OME-TIFF	HTA14_16_1001							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_004-H8.ome.tif	HTAN TNP - TMA		HTA14_49_12	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341646	HTA14	OME-TIFF	HTA14_49_1001							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-A7.ome.tif	HTAN TNP - TMA		HTA14_7_13	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341656	HTA14	OME-TIFF	HTA14_7_1002							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-B1.ome.tif	HTAN TNP - TMA		HTA14_12_13	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341659	HTA14	OME-TIFF	HTA14_12_1002							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-B5.ome.tif	HTAN TNP - TMA		HTA14_16_13	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341665	HTA14	OME-TIFF	HTA14_16_1002							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-B9.ome.tif	HTAN TNP - TMA		HTA14_12_14	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341670	HTA14	OME-TIFF	HTA14_12_1003							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-C3.ome.tif	HTAN TNP - TMA		HTA14_24_13	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341674	HTA14	OME-TIFF	HTA14_24_1002							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-C8.ome.tif	HTAN TNP - TMA		HTA14_24_14	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341679	HTA14	OME-TIFF	HTA14_24_1003							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-D2.ome.tif	HTAN TNP - TMA		HTA14_30_13	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341684	HTA14	OME-TIFF	HTA14_30_1002							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-F3.ome.tif	HTAN TNP - TMA		HTA14_7_14	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341765	HTA14	OME-TIFF	HTA14_7_1003							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-F7.ome.tif	HTAN TNP - TMA		HTA14_30_14	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341788	HTA14	OME-TIFF	HTA14_30_1003							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-H2.ome.tif	HTAN TNP - TMA		HTA14_49_13	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341797	HTA14	OME-TIFF	HTA14_49_1002							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-H6.ome.tif	HTAN TNP - TMA		HTA14_16_14	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341802	HTA14	OME-TIFF	HTA14_16_1003							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_005-H8.ome.tif	HTAN TNP - TMA		HTA14_49_14	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341804	HTA14	OME-TIFF	HTA14_49_1003							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-A7.ome.tif	HTAN TNP - TMA		HTA14_7_23	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341813	HTA14	OME-TIFF	HTA14_7_1004							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-B1.ome.tif	HTAN TNP - TMA		HTA14_12_23	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341817	HTA14	OME-TIFF	HTA14_12_1004							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-B5.ome.tif	HTAN TNP - TMA		HTA14_16_23	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341823	HTA14	OME-TIFF	HTA14_16_1004							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-B9.ome.tif	HTAN TNP - TMA		HTA14_12_24	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341827	HTA14	OME-TIFF	HTA14_12_1005							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-C3.ome.tif	HTAN TNP - TMA		HTA14_24_23	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341832	HTA14	OME-TIFF	HTA14_24_1004							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-C8.ome.tif	HTAN TNP - TMA		HTA14_24_24	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341838	HTA14	OME-TIFF	HTA14_24_1005							Release 4.0	Details	
imaging_level_2/OHSU_TMA1_010-D2.ome.tif	HTAN TNP - TMA		HTA14_30_23	CyCIF	Level 2	Breast NOS		Lobular carcinoma NOS	CRDC-GC/SB-CGC (open access)	syn26341843	HTA14	OME-TIFF	HTA14_30_1004							Release 4.0	Details	
